model,cluster,gpu,conda_env,py_var,data_vars,runner_cmd,notes
CPA,C2,yes,ivc-cpa,IVCBENCH_IVC_CPA_PYTHON,IVCBENCH_SOSKIC_PATH,"@PY@ scripts/cpa_soskic.py","CPA on Soskic donor LODO (latent delta); --chunk I 2 + two --gpu launches shard across 2 GPUs."
CPA,C4,yes,ivc-cpa,IVCBENCH_IVC_CPA_PYTHON,IVCBENCH_FRANGIEH_DIR,"@PY@ scripts/cpa_frangieh.py","CPA on Frangieh leave-one-KO RNA (Axis-2 latent fill)."
chemCPA,C5,yes,ivc-cpa,IVCBENCH_IVC_CPA_PYTHON,IVCBENCH_OP3_PATH,"@PY@ scripts/chemcpa_native_op3.py 0 outputs/additional_models","Native chemistry-aware chemCPA on OP3 unseen-compound. Positional args: <seed> <out_dir> [max_cells] [epochs]."
scGen,C1,no,scperturbench_eval,IVCBENCH_SCPERTURBENCH_EVAL_PYTHON,IVCBENCH_KANG_PATH,"@PY@ scripts/c1_ifn_recovery_scgen.py","scGen type-I IFN program recovery on Kang LOCT; CPU-capable scperturbench_eval env."
scGen,C2,no,scperturbench_eval,IVCBENCH_SCPERTURBENCH_EVAL_PYTHON,IVCBENCH_SOSKIC_PATH,"@PY@ scripts/c2_soskic_donor.py","scGen + floors on the Soskic donor LODO (same script as the C2 floor; scGen is the conditioned leg). GPU optional via --scgen-accelerator gpu."
scGen,C4,no,scperturbench_eval,IVCBENCH_SCPERTURBENCH_EVAL_PYTHON,IVCBENCH_FRANGIEH_DIR,"@PY@ scripts/run_c4_conditioned.py","scGen leg on the Frangieh leave-one-KO split (same script as linear-shift-KOemb C4)."
CINEMA-OT,C4,yes,scperturbench_eval,IVCBENCH_SCPERTURBENCH_EVAL_PYTHON,IVCBENCH_FRANGIEH_DIR,"@PY@ scripts/cinemaot_frangieh.py","CINEMA-OT entropic-OT on Frangieh leave-one-KO RNA (Axis-2). --chunk I N shards folds across 2 GPUs."
STATE,C1,yes,ivc-state,IVCBENCH_IVC_STATE_PYTHON,IVCBENCH_KANG_PATH,"@PY@ scripts/state_kang.py","arc-STATE on Kang LOCT; subprocess into the ivc-state env. --smoke forces CPU."
STATE,C2,yes,ivc-state,IVCBENCH_IVC_STATE_PYTHON,IVCBENCH_SOSKIC_PATH,"@PY@ scripts/state_soskic.py","arc-STATE on Soskic donor LODO; --chunk I 2 shards donors across 2 GPUs."
STATE,C4,yes,ivc-state,IVCBENCH_IVC_STATE_PYTHON,IVCBENCH_FRANGIEH_DIR,"@PY@ scripts/state_frangieh.py","arc-STATE on Frangieh leave-one-KO RNA (Axis-2 hybrid fill)."
GEARS,C4,yes,scgpt,IVCBENCH_SCGPT_PYTHON,IVCBENCH_FRANGIEH_DIR IVCBENCH_GENE2GO,"@PY@ scripts/graph_frangieh.py --full","GEARS + AttentionPert graph fills on Frangieh leave-one-KO RNA; --full runs the real split (no --full = smoke)."
AttentionPert,C4,yes,scgpt,IVCBENCH_SCGPT_PYTHON,IVCBENCH_FRANGIEH_DIR IVCBENCH_GENE2GO,"@PY@ scripts/graph_frangieh.py --full","Same runner as GEARS C4; graph_frangieh.py runs both Graph-family models in one pass."
PertAdapt,C2,yes,scfoundation,IVCBENCH_SCFOUNDATION_PYTHON,IVCBENCH_SOSKIC_PATH IVCBENCH_SCFOUNDATION_CKPT,"@PY@ scripts/pertadapt_soskic.py","PertAdapt (GO-masked scFoundation adapter) on Soskic donor LODO; --chunk I 2 shards across 2 GPUs. Published-anchor gate is scripts/pertadapt_validate.py."
scGPT,C3,yes,scgpt,IVCBENCH_SCGPT_PYTHON,IVCBENCH_SCPERTURBENCH_DATASET_DIR,,"Foundation model run through the scPerturBench eval harness (registry path needs an absent model_runners/ dir). Not runnable from this repo: see REPRODUCE.md (scPerturBench harness) to reproduce the C3 scGPT cell."
scFoundation,C3,yes,scfoundation,IVCBENCH_SCFOUNDATION_PYTHON,IVCBENCH_SCPERTURBENCH_DATASET_DIR IVCBENCH_SCFOUNDATION_CKPT,,"Foundation model run through the scPerturBench eval harness (registry path needs an absent model_runners/ dir). Not runnable from this repo: see REPRODUCE.md (scPerturBench harness) to reproduce the C3 scFoundation cell."
