Entry,Task / split,Status,Pretrained checkpoint,Parameters trained,Optimizer / learning rate,Training budget,Seeds,Author-written task interface
CellOT,"T2, donor LODO (Soskic, 106 donors)",native,n.a.,Autoencoder and ICNN transport maps,"Adam / 1e-3 (AE), 1e-4 (OT)","12,000 AE + 8,000 OT iterations","0 (the census value); a {0, 1, 2} collapse is reported as a sensitivity",No. No model-specific task interface authored for this study was used.
CellOT,"T5, cell-context LOCT (OP3, 4 lineages)",native,n.a.,Shared autoencoder; the f/g ICNN potentials refitted per compound,"Adam / 1e-3 (AE), 1e-4 (OT)","12,000 AE once, then 2,000 OT iterations for each of the ~141 compounds (chosen from the per-compound MMD; see Note S2)",single run at the runner's fixed seed; no seed sweep,No. No model-specific task interface authored for this study was used.
CINEMA-OT,"T3, unseen gene (10% LO-gene, 5 datasets)",diagnostic (not reported),n.a.,No neural checkpoint; OT problem fitted per fold,entropic Sinkhorn (eps 1e-3),"20-PC OT; up to 4,000 cells/arm",single run at the runner's fixed seed; no seed sweep,"n.a. Diagnostic comparator, not a conditioned-method claim."
CINEMA-OT,"T5, cell-context LOCT (OP3, 4 lineages)",diagnostic (not reported),n.a.,No neural checkpoint; OT problem fitted per fold,entropic Sinkhorn (eps 1e-3),"20-PC OT; up to 4,000 cells/arm",single run at the runner's fixed seed; no seed sweep,"n.a. Diagnostic comparator, not a conditioned-method claim."
CINEMA-OT,"T5, unseen compound (OP3, 28 held compounds)",diagnostic (not reported),n.a.,No neural checkpoint; OT problem fitted per fold,entropic Sinkhorn (eps 1e-3),"20-PC OT; up to 4,000 cells/arm",single run at the runner's fixed seed; no seed sweep,"n.a. Diagnostic comparator, not a conditioned-method claim."
CPA/chemCPA (chemCPA),"T1, cell-context LOCT (Kang, 8 lineages)",native,n.a.,All CPA parameters (cpa-tools 0.8.8),Adam / 1e-3,"up to 60 epochs, early stopping patience 8, batch <= 256",single run at the runner's fixed seed; no seed sweep,No; no model-specific task interface authored for this study was used.
CPA/chemCPA (chemCPA),"T2, donor LODO (Soskic, 106 donors)",native,n.a.,All CPA parameters (cpa-tools 0.8.8),Adam / 1e-3,"up to 60 epochs, early stopping patience 8, batch <= 256",single run at the runner's fixed seed; no seed sweep,No; no model-specific task interface authored for this study was used.
CPA/chemCPA (chemCPA),"T5, cell-context LOCT (OP3, 4 lineages)",native,n.a.,All CPA parameters (cpa-tools 0.8.8),Adam / 1e-3,"up to 60 epochs, early stopping patience 8, batch <= 256",single run at the runner's fixed seed; no seed sweep,No; no model-specific task interface authored for this study was used.
CPA/chemCPA (chemCPA),"T5, unseen compound (OP3, 28 held compounds)",native,"RDKit/Morgan fingerprints (frozen, not an expression checkpoint)","CPA expression encoder/decoder and drug-effect network; latent size 64; frozen molecular embeddings, constant PBMC covariate; cpa-tools 0.8.8",native CPA training plan / lr 1e-3,"up to 60 epochs, batch 256, early-stopping patience 8; seeds 0, 1, 2; predicted means averaged across seeds before scoring","0, 1, 2; predicted means averaged before scoring",No. No model-specific task interface authored for this study was used.
FP-ridge,"T5, cell-context LOCT (OP3, 4 lineages)",diagnostic,n.a.,Morgan-fingerprint ridge coefficients,closed-form ridge / alpha 10,deterministic per-fold fit,single run at the runner's fixed seed; no seed sweep,"n.a. Diagnostic comparator, not a conditioned-method claim."
FP-ridge,"T5, unseen compound (OP3, 28 held compounds)",diagnostic,n.a.,Morgan-fingerprint ridge coefficients,closed-form ridge / alpha 10,deterministic per-fold fit,single run at the runner's fixed seed; no seed sweep,"n.a. Diagnostic comparator, not a conditioned-method claim."
GEARS,"T3, unseen gene (10% LO-gene, 5 datasets)",native,n.a.,All graph-model parameters,GEARS fixed runner settings,15 epochs,single run at the runner's fixed seed; no seed sweep,No. No model-specific task interface authored for this study was used.
GEARS,"T4, unseen KO, RNA readout (Frangieh, 2 folds)",native,n.a.,All graph-model parameters,GEARS fixed runner settings,15 epochs,single run at the runner's fixed seed; no seed sweep,No. No model-specific task interface authored for this study was used.
linear-shift-KOemb,"T3, unseen gene (10% LO-gene, 5 datasets)",diagnostic,n.a.,Control-PCA gene embedding + ridge shift,closed-form ridge / alpha 1,deterministic per-fold fit,single run at the runner's fixed seed; no seed sweep,"n.a.; diagnostic comparator, not a conditioned-method claim."
linear-shift-KOemb,"T4, unseen KO, RNA readout (Frangieh, 2 folds)",diagnostic,n.a.,Control-PCA gene embedding + ridge shift,closed-form ridge / alpha 1,deterministic per-fold fit,single run at the runner's fixed seed; no seed sweep,"n.a. Diagnostic comparator, not a conditioned-method claim."
PertAdapt,"T2, donor LODO (Soskic, 106 donors)",adapted (not reported),released scFoundation encoder,GO-masked adaptation head only (encoder frozen),AdamW / 1e-3,20 epochs (Soskic-specific runner),0 only,"Yes. A study-written PertAdapt-inspired T2 head uses pooled frozen scFoundation cell embeddings, a learned stimulation token and lineage embedding, a binary GO co-membership mask and a shared decoder anchored to the training control mean. It reconstructs stimulated training cells from their own embeddings, then receives held-donor control embeddings at inference. This is not the published control-to-perturbed training operation or GEARS gene-condition encoder; its score does not establish native PertAdapt performance."
PertAdapt,"T3, unseen gene (10% LO-gene, 5 datasets)",native,"released scFoundation encoder (models.ckpt), frozen","Perturbation adapter and decoder (hidden 512, 1 GO-masked GNN layer, decoder hidden 16)","Adam / 1e-3, weight decay 5e-4, StepLR gamma 0.5","15 epochs, batch 4",single run at the runner's fixed seed; no seed sweep,No; no model-specific task interface authored for this study was used.
PertAdapt,"T4, unseen KO, RNA readout (Frangieh, 2 folds)",native,"released scFoundation encoder (models.ckpt), frozen","Perturbation adapter and decoder (hidden 512, 1 GO-masked GNN layer, decoder hidden 16)","Adam / 1e-3, weight decay 5e-4, StepLR gamma 0.5","15 epochs, batch 4",single run at the runner's fixed seed; no seed sweep,No; no model-specific task interface authored for this study was used.
PerturbNet,"T1, cell-context LOCT (Kang, 8 lineages)",native,none on this route; the released parameter-free Labelator supplies the one-hot conditioning interface,"Cell-state VAE and conditional invertible flow (20 coupling blocks, hidden 1,024)","VAE 1e-4, cINN 4.5e-6","81 VAE + 50 cINN epochs, batch 128",single run at the runner's fixed seed; no seed sweep,No; no model-specific task interface authored for this study was used.
PerturbNet,"T2, donor LODO (Soskic, 106 donors)",native,none on this route; the released parameter-free Labelator supplies the one-hot conditioning interface,"Cell-state VAE and conditional invertible flow (20 coupling blocks, hidden 1,024)","VAE 1e-4, cINN 4.5e-6","81 VAE + 50 cINN epochs, batch 128",single run at the runner's fixed seed; no seed sweep,No; no model-specific task interface authored for this study was used.
PerturbNet,"T3, unseen gene (10% LO-gene, 5 datasets)",native,"released ChemicalVAE (model_params_525.pt) on the compound splits; released GenotypeVAE on the genetic splits, both frozen","Cell-state VAE and conditional invertible flow (20 coupling blocks, hidden 1,024)","VAE 1e-4, cINN 4.5e-6","81 VAE + 50 cINN epochs, batch 128",single run at the runner's fixed seed; no seed sweep,No. No model-specific task interface authored for this study was used.
PerturbNet,"T4, unseen KO, RNA readout (Frangieh, 2 folds)",native,"released ChemicalVAE (model_params_525.pt) on the compound splits; released GenotypeVAE on the genetic splits, both frozen","Cell-state VAE and conditional invertible flow (20 coupling blocks, hidden 1,024)","VAE 1e-4, cINN 4.5e-6","81 VAE + 50 cINN epochs, batch 128",single run at the runner's fixed seed; no seed sweep,No. No model-specific task interface authored for this study was used.
PerturbNet,"T5, cell-context LOCT (OP3, 4 lineages)",native,"released ChemicalVAE (model_params_525.pt), frozen","Cell-state VAE and conditional invertible flow (20 coupling blocks, hidden 1,024)","VAE 1e-4, cINN 4.5e-6","81 VAE + 50 cINN epochs, batch 128",single run at the runner's fixed seed; no seed sweep,No; no model-specific task interface authored for this study was used.
PerturbNet,"T5, unseen compound (OP3, 28 held compounds)",native,"released ChemicalVAE (model_params_525.pt) on the compound splits; released GenotypeVAE on the genetic splits, both frozen","Cell-state VAE and conditional invertible flow (20 coupling blocks, hidden 1,024)","VAE 1e-4, cINN 4.5e-6","81 VAE + 50 cINN epochs, batch 128",single run at the runner's fixed seed; no seed sweep,No. No model-specific task interface authored for this study was used.
PRnet,"T5, cell-context LOCT (OP3, 4 lineages)",native,n.a.,"All PRnet parameters (hidden 128, latent 64, Perturb-adaptor 128)","Adam / 1e-3, weight decay 1e-8","100 epochs, batch 512",single run at the runner's fixed seed; no seed sweep,No. No model-specific task interface authored for this study was used.
PRnet,"T5, unseen compound (OP3, 28 held compounds)",native,n.a.,"All PRnet parameters (hidden 128, latent 64, Perturb-adaptor 128)","Adam / 1e-3, weight decay 1e-8","100 epochs, batch 512",single run at the runner's fixed seed; no seed sweep,No. No model-specific task interface authored for this study was used.
scFoundation,"T1, cell-context LOCT (Kang, 8 lineages)",adapted,released scFoundation cell encoder,MLP decoder head only (encoder frozen),AdamW / 1e-3,15 epochs,0 only,Yes. The author-written T1 interface estimates a training-lineage latent shift and trains an MLP decoder for 512 response genes; other genes retain the held-control mean.
scFoundation,"T2, donor LODO (Soskic, 106 donors)",adapted,released scFoundation cell encoder,MLP decoder head only (encoder frozen),AdamW / 1e-3,15 epochs,0 only,"Yes. The author-written T1 cell-context interface reused here, with the donor as the held group: a training-group latent shift with an MLP decoder for 512 response genes; other genes retain the held-control mean."
scFoundation,"T3, unseen gene (10% LO-gene, 5 datasets)",native,"released scFoundation encoder (models.ckpt), frozen",GEARS-style perturbation head on the frozen encoder,Adam / 2e-4,"15 epochs, batch 6",single run at the runner's fixed seed; no seed sweep,No; no model-specific task interface authored for this study was used.
scFoundation,"T4, unseen KO, RNA readout (Frangieh, 2 folds)",native,"released scFoundation encoder (models.ckpt), frozen",GEARS-style perturbation head on the frozen encoder,Adam / 2e-4,"15 epochs, batch 6",single run at the runner's fixed seed; no seed sweep,No; no model-specific task interface authored for this study was used.
scFoundation,"T5, cell-context LOCT (OP3, 4 lineages)",adapted,"released scFoundation cell encoder, frozen","Compound-conditioned head only (encoder frozen): a two-branch MLP that projects the frozen cell embedding and the 1,024-bit Morgan fingerprint to 256 units each, joined in a shared trunk of hidden 512",AdamW / 1e-3 (weight decay 1e-4),"up to 60 epochs; the epoch is chosen on an inner split of the training fold that mirrors the held axis (one training lineage held back), then the head is refit on the whole fold",0 only,Yes; the head is written for this study. The released encoder is used unchanged and is never updated.
scFoundation,"T5, unseen compound (OP3, 28 held compounds)",adapted,"released scFoundation cell encoder, frozen","Compound-conditioned head only (encoder frozen): a two-branch MLP that projects the frozen cell embedding and the 1,024-bit Morgan fingerprint to 256 units each, joined in a shared trunk of hidden 512",AdamW / 1e-3 (weight decay 1e-4),"up to 60 epochs; the epoch is chosen on an inner split of the training fold that mirrors the held axis (15% of training compounds held back), then the head is refit on the whole fold",single run at the runner's fixed seed; no seed sweep,Yes; the head is written for this study. The released encoder is used unchanged and is never updated.
scGen,"T1, cell-context LOCT (Kang, 8 lineages)",native,n.a.,All VAE parameters; task interface fitted per fold,scGen fixed runner settings,60 epochs,"0, 1, 2; scores averaged within lineage",No. No model-specific task interface authored for this study was used.
scGen,"T2, donor LODO (Soskic, 106 donors)",native,n.a.,All VAE parameters; task interface fitted per fold,scGen fixed runner settings,60 epochs,single run at the runner's fixed seed; no seed sweep,No. No model-specific task interface authored for this study was used.
scGen,"T5, cell-context LOCT (OP3, 4 lineages)",native,n.a.,All scGen VAE parameters,scGen library defaults,"up to 60 epochs, early stopping patience 8, batch 128",single run at the runner's fixed seed; no seed sweep,No; no model-specific task interface authored for this study was used.
scGPT,"T1, cell-context LOCT (Kang, 8 lineages)",adapted,scGPT_human,All model parameters (end-to-end fine-tuning),AdamW / 1e-4,10 epochs,0 only,"Yes. The author-written T1 interface replaces the gene-specific perturbation token with one global flag for the seen stimulus. Genes absent from the released scGPT vocabulary cannot be tokenised and retain the held-control mean; on this panel that is under 0.5% of the 2,000 genes."
scGPT,"T2, donor LODO (Soskic, 106 donors)",adapted,scGPT_human,All model parameters (end-to-end fine-tuning),AdamW / 1e-4,10 epochs,0 only,"Yes. The author-written T1 cell-context interface reused here, with the donor as the held group: the gene-specific perturbation token is replaced by one global flag for the seen stimulation. Genes absent from the released scGPT vocabulary retain the held-control mean, as on T1."
scGPT,"T3, unseen gene (10% LO-gene, 5 datasets)",native,scGPT_human,All model parameters (end-to-end fine-tuning),AdamW / 1e-4,10 epochs,single run at the runner's fixed seed; no seed sweep,No. No model-specific task interface authored for this study was used.
scGPT,"T4, unseen KO, RNA readout (Frangieh, 2 folds)",native,scGPT_human,All model parameters (end-to-end fine-tuning),AdamW / 1e-4,10 epochs,single run at the runner's fixed seed; no seed sweep,No. No model-specific task interface authored for this study was used.
scGPT,"T5, cell-context LOCT (OP3, 4 lineages)",adapted,"scGPT_human, frozen","Compound-conditioned head only (encoder frozen): a single hidden-layer MLP (hidden 512) over the frozen cell embedding concatenated with the 1,024-bit Morgan fingerprint",AdamW / 1e-3 (weight decay 1e-4),"up to 60 epochs; the epoch is chosen on an inner split of the training fold that mirrors the held axis (one training lineage held back), then the head is refit on the whole fold",0 only,Yes; the head is written for this study. The released encoder is used unchanged and is never updated.
scGPT,"T5, unseen compound (OP3, 28 held compounds)",adapted,"scGPT_human, frozen","Compound-conditioned head only (encoder frozen): a single hidden-layer MLP (hidden 512) over the frozen cell embedding concatenated with the 1,024-bit Morgan fingerprint",AdamW / 1e-3 (weight decay 1e-4),"up to 60 epochs; the epoch is chosen on an inner split of the training fold that mirrors the held axis (20% of training compounds held back), then the head is refit on the whole fold",single run at the runner's fixed seed; no seed sweep,Yes; the head is written for this study. The released encoder is used unchanged and is never updated.
scPRAM,"T1, cell-context LOCT (Kang, 8 lineages)",native,n.a.,"VAE, OT matching and attention parameters",scPRAM fixed runner settings,100 epochs,single run at the runner's fixed seed; no seed sweep,No. No model-specific task interface authored for this study was used.
scPRAM,"T2, donor LODO (Soskic, 106 donors)",native,n.a.,"VAE, OT matching and attention parameters",scPRAM fixed runner settings,100 epochs,single run at the runner's fixed seed; no seed sweep,No. No model-specific task interface authored for this study was used.
scPRAM,"T5, cell-context LOCT (OP3, 4 lineages)",native,n.a.,"VAE, OT matching and attention parameters",scPRAM fixed runner settings,100 epochs,single run at the runner's fixed seed; no seed sweep,No. No model-specific task interface authored for this study was used.
STATE,"T1, cell-context LOCT (Kang, 8 lineages)",native,n.a.,All STATE transition-model parameters,STATE fixed runner settings,400 steps,single run at the runner's fixed seed; no seed sweep,No. No model-specific task interface authored for this study was used.
STATE,"T2, donor LODO (Soskic, 106 donors)",native,n.a.,All STATE transition-model parameters,STATE fixed runner settings,400 steps,single run at the runner's fixed seed; no seed sweep,No. No model-specific task interface authored for this study was used.
STATE,"T3, unseen gene (10% LO-gene, 5 datasets)",native,"n.a. (from-scratch ST, embed_key=null)",All STATE transition-model parameters (state_sm),STATE fixed runner settings,400 steps,single run at the runner's fixed seed; no seed sweep,No; no model-specific task interface authored for this study was used.
STATE,"T4, unseen KO, RNA readout (Frangieh, 2 folds)",native,"n.a. (from-scratch ST, embed_key=null)",All STATE transition-model parameters (state_sm),STATE fixed runner settings,400 steps,single run at the runner's fixed seed; no seed sweep,No; no model-specific task interface authored for this study was used.
STATE,"T5, cell-context LOCT (OP3, 4 lineages)",native,"n.a. (from-scratch ST, embed_key=null)",All STATE transition-model parameters (state_sm),STATE fixed runner settings,400 steps,single run at the runner's fixed seed; no seed sweep,No; no model-specific task interface authored for this study was used.
STATE,"T5, unseen compound (OP3, 28 held compounds)",native,"n.a. (from-scratch ST, embed_key=null)",All STATE transition-model parameters (state_sm),STATE fixed runner settings,400 steps,single run at the runner's fixed seed; no seed sweep,No; no model-specific task interface authored for this study was used.
