task,scope,gene_mask,method,program,model,status,n_task_units,expected_task_units,n_comparison_units,comparison_units,n_estimable,all_selected_units_estimable,correlation,correlation_unit_min,correlation_unit_max,mean_rmse,mean_mae,status_counts,selection_scope
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,effector_lymphocyte,scGPT,adapted,4,4,4,B;Mono;NK;T_cells,4,True,0.331411410488177,0.006158254809458,0.6676718886187789,0.0810474753445466,0.0553655183694149,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,effector_lymphocyte,scGen,native,4,4,4,B;Mono;NK;T_cells,3,False,,,,,,"{""estimable"": 3, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,effector_lymphocyte,scPRAM,native,4,4,4,B;Mono;NK;T_cells,4,True,0.2356482549397514,0.016478235527931,0.4934322231282018,0.3879830881132768,0.3176283970972485,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,inflammatory_NFkB,CPA,native,4,4,4,B;Mono;NK;T_cells,4,True,0.0561252371210938,-0.0173061348318988,0.1544411501576153,0.1588309799464198,0.1306856996290825,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,inflammatory_NFkB,CellFlow,native,4,4,4,B;Mono;NK;T_cells,4,True,0.3205250786486032,-0.1240273804440895,0.5276769487422446,0.1687184970736527,0.1426122636334495,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,inflammatory_NFkB,CellOT,native,4,4,4,B;Mono;NK;T_cells,3,False,,,,,,"{""estimable"": 3, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,inflammatory_NFkB,FP-ridge,diagnostic,4,4,4,B;Mono;NK;T_cells,4,True,0.526809296602276,0.1588087497909017,0.6568346080766677,0.0992986303922024,0.0651988431899381,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,inflammatory_NFkB,PRnet,native,4,4,4,B;Mono;NK;T_cells,4,True,0.4088383967964863,0.111397398535704,0.5414407722707879,0.3031336801247674,0.2825398854366606,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,inflammatory_NFkB,PerturbNet,native,4,4,4,B;Mono;NK;T_cells,0,False,,,,,,"{""explicit_declined_strata_on_full_support"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,inflammatory_NFkB,STATE,native,4,4,4,B;Mono;NK;T_cells,4,True,0.0865793777133289,-0.0600565517341342,0.359170339400644,0.2551337533536099,0.2257304445316726,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,inflammatory_NFkB,cell-mean,floor,4,4,4,B;Mono;NK;T_cells,0,False,,,,0.3623666999977641,0.35191082416573,"{""numerically_constant_predicted_profile"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,inflammatory_NFkB,linear-PCA,floor,4,4,4,B;Mono;NK;T_cells,0,False,,,,0.1042107520915883,0.0658172725081521,"{""numerically_constant_predicted_profile"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,inflammatory_NFkB,scFoundation,adapted,4,4,4,B;Mono;NK;T_cells,4,True,0.4100683054505062,-0.0748207636242217,0.6018581588269686,0.0936931005242663,0.062158887638659,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,inflammatory_NFkB,scGPT,adapted,4,4,4,B;Mono;NK;T_cells,4,True,0.5467110804360515,0.3141151107141569,0.6767455171820447,0.096224422747621,0.0675061540301912,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,inflammatory_NFkB,scGen,native,4,4,4,B;Mono;NK;T_cells,3,False,,,,,,"{""estimable"": 3, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,inflammatory_NFkB,scPRAM,native,4,4,4,B;Mono;NK;T_cells,4,True,0.3426497911610085,0.1337690655856359,0.5996232413985783,0.2102330750646613,0.1706172501674216,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,type_I_IFN,CPA,native,4,4,4,B;Mono;NK;T_cells,4,True,0.1550616167900808,0.0678969128343412,0.2325750984239334,0.2924810159750581,0.2370412381336239,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,type_I_IFN,CellFlow,native,4,4,4,B;Mono;NK;T_cells,4,True,0.7829049458536836,0.6599518163318306,0.8731718183529672,0.2541389913917573,0.2189008774564382,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,type_I_IFN,CellOT,native,4,4,4,B;Mono;NK;T_cells,3,False,,,,,,"{""estimable"": 3, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,type_I_IFN,FP-ridge,diagnostic,4,4,4,B;Mono;NK;T_cells,4,True,0.880594969213006,0.7680556266788378,0.9336410493676336,0.1393116032177644,0.1085105770217804,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,type_I_IFN,PRnet,native,4,4,4,B;Mono;NK;T_cells,4,True,0.7958079144083751,0.6968362340646779,0.8689937595643076,0.2710423540399077,0.2355228997275735,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,type_I_IFN,PerturbNet,native,4,4,4,B;Mono;NK;T_cells,0,False,,,,,,"{""explicit_declined_strata_on_full_support"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,type_I_IFN,STATE,native,4,4,4,B;Mono;NK;T_cells,4,True,0.2117787851095116,0.1022428456264599,0.3773516074217513,0.3066479181761787,0.2501358560568993,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,type_I_IFN,cell-mean,floor,4,4,4,B;Mono;NK;T_cells,0,False,,,,0.2819956927494217,0.2314462573076115,"{""numerically_constant_predicted_profile"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,type_I_IFN,linear-PCA,floor,4,4,4,B;Mono;NK;T_cells,0,False,,,,0.2541253567737252,0.1998611361867643,"{""numerically_constant_predicted_profile"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,type_I_IFN,scFoundation,adapted,4,4,4,B;Mono;NK;T_cells,4,True,0.6751713331179242,0.1617889270637558,0.9217529243222664,0.18652950975923,0.1474328831194493,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,type_I_IFN,scGPT,adapted,4,4,4,B;Mono;NK;T_cells,4,True,0.904245127559944,0.8110288948761815,0.941164660190672,0.136754312806732,0.1082771810274988,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,type_I_IFN,scGen,native,4,4,4,B;Mono;NK;T_cells,3,False,,,,,,"{""estimable"": 3, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,mean_expression_delta,type_I_IFN,scPRAM,native,4,4,4,B;Mono;NK;T_cells,4,True,0.728121624315645,0.5913925446081916,0.8077200700839885,0.2400435004375228,0.1982523464165776,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,effector_lymphocyte,CPA,native,4,4,2,Mono;NK,1,False,,,,0.1976697703636928,0.1915227733259648,"{""constant_predicted_score"": 1, ""estimable"": 1}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,effector_lymphocyte,CellFlow,native,4,4,2,Mono;NK,1,False,,,,0.147535127823161,0.1414421801602652,"{""constant_predicted_score"": 1, ""estimable"": 1}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,effector_lymphocyte,CellOT,native,4,4,2,Mono;NK,1,False,,,,0.0656391443000006,0.0490050428295109,"{""constant_predicted_score"": 1, ""estimable"": 1}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,effector_lymphocyte,FP-ridge,diagnostic,4,4,2,Mono;NK,1,False,,,,0.0381477126129152,0.0177445657179699,"{""constant_predicted_score"": 1, ""estimable"": 1}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,effector_lymphocyte,PRnet,native,4,4,2,Mono;NK,1,False,,,,0.3703481190339303,0.3646163535046513,"{""constant_predicted_score"": 1, ""estimable"": 1}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,effector_lymphocyte,PerturbNet,native,4,4,2,Mono;NK,0,False,,,,,,"{""explicit_declined_strata_on_full_support"": 2}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,effector_lymphocyte,STATE,native,4,4,2,Mono;NK,0,False,,,,0.3537511692855799,0.3488760937643916,"{""constant_predicted_score"": 2}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,effector_lymphocyte,cell-mean,floor,4,4,2,Mono;NK,0,False,,,,0.3537511692855799,0.3488760937643916,"{""constant_predicted_score"": 2}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,effector_lymphocyte,linear-PCA,floor,4,4,2,Mono;NK,0,False,,,,0.0388284629009542,0.0175350234871511,"{""constant_predicted_score"": 2}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,effector_lymphocyte,scFoundation,adapted,4,4,2,Mono;NK,1,False,,,,0.0352742450761556,0.0170675831260937,"{""constant_predicted_score"": 1, ""estimable"": 1}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,effector_lymphocyte,scGPT,adapted,4,4,2,Mono;NK,1,False,,,,0.033406361907965,0.0192307036934696,"{""constant_predicted_score"": 1, ""estimable"": 1}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,effector_lymphocyte,scGen,native,4,4,2,Mono;NK,1,False,,,,0.0852062906380557,0.0750269641705811,"{""constant_predicted_score"": 1, ""estimable"": 1}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,effector_lymphocyte,scPRAM,native,4,4,2,Mono;NK,2,True,0.2338138416036417,-0.0344746688208424,0.502102352028126,0.1097859389069287,0.0784998157870498,"{""estimable"": 2}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,inflammatory_NFkB,CPA,native,4,4,3,B;Mono;NK,0,False,,,,0.0222956635590969,0.0058487238867178,"{""constant_predicted_score"": 3}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,inflammatory_NFkB,CellFlow,native,4,4,3,B;Mono;NK,0,False,,,,0.0222956635590969,0.0058487238867178,"{""constant_predicted_score"": 3}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,inflammatory_NFkB,CellOT,native,4,4,3,B;Mono;NK,2,False,,,,0.0199297442421624,0.0058296183721715,"{""constant_predicted_score"": 1, ""estimable"": 2}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,inflammatory_NFkB,FP-ridge,diagnostic,4,4,3,B;Mono;NK,2,False,,,,0.020115006526954,0.0057048294495102,"{""constant_predicted_score"": 1, ""estimable"": 2}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,inflammatory_NFkB,PRnet,native,4,4,3,B;Mono;NK,0,False,,,,0.0222956635590969,0.0058487238867178,"{""constant_predicted_score"": 3}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,inflammatory_NFkB,PerturbNet,native,4,4,3,B;Mono;NK,0,False,,,,,,"{""explicit_declined_strata_on_full_support"": 3}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,inflammatory_NFkB,STATE,native,4,4,3,B;Mono;NK,0,False,,,,0.0222956635590969,0.0058487238867178,"{""constant_predicted_score"": 3}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,inflammatory_NFkB,cell-mean,floor,4,4,3,B;Mono;NK,0,False,,,,0.0222956635590969,0.0058487238867178,"{""constant_predicted_score"": 3}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,inflammatory_NFkB,linear-PCA,floor,4,4,3,B;Mono;NK,0,False,,,,0.0222956635590969,0.0058487238867178,"{""constant_predicted_score"": 3}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,inflammatory_NFkB,scFoundation,adapted,4,4,3,B;Mono;NK,1,False,,,,0.0207186701164347,0.0058351184445409,"{""constant_predicted_score"": 2, ""estimable"": 1}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,inflammatory_NFkB,scGPT,adapted,4,4,3,B;Mono;NK,3,True,0.2303751208637591,-0.0123982552379701,0.5316085553780872,0.0203701650174339,0.0065293819655521,"{""estimable"": 3}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,inflammatory_NFkB,scGen,native,4,4,3,B;Mono;NK,1,False,,,,0.0225351088219091,0.0059567954841511,"{""constant_predicted_score"": 2, ""estimable"": 1}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,inflammatory_NFkB,scPRAM,native,4,4,3,B;Mono;NK,3,True,0.2047033671240778,-0.0128743147443141,0.6072152481734542,0.0221526795502485,0.0064051478747527,"{""estimable"": 3}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,type_I_IFN,CPA,native,4,4,4,B;Mono;NK;T_cells,2,False,,,,0.0470966293841011,0.0323425215298885,"{""constant_predicted_score"": 2, ""estimable"": 2}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,type_I_IFN,CellFlow,native,4,4,4,B;Mono;NK;T_cells,4,True,0.6505917239894905,0.5095991507916044,0.7496566868310294,0.0371370958802496,0.0248082320162107,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,type_I_IFN,CellOT,native,4,4,4,B;Mono;NK;T_cells,3,False,,,,,,"{""estimable"": 3, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,type_I_IFN,FP-ridge,diagnostic,4,4,4,B;Mono;NK;T_cells,4,True,0.8099282882169518,0.6495684835527173,0.8966071540089164,0.0250303927119617,0.0137828774062816,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,type_I_IFN,PRnet,native,4,4,4,B;Mono;NK;T_cells,4,True,0.5105945729792138,0.3772429188026639,0.6538937651583836,0.0657334773692266,0.0412853216818642,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,type_I_IFN,PerturbNet,native,4,4,4,B;Mono;NK;T_cells,0,False,,,,,,"{""explicit_declined_strata_on_full_support"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,type_I_IFN,STATE,native,4,4,4,B;Mono;NK;T_cells,3,False,,,,0.0516718924956137,0.0401220238095238,"{""constant_predicted_score"": 1, ""estimable"": 3}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,type_I_IFN,cell-mean,floor,4,4,4,B;Mono;NK;T_cells,0,False,,,,0.0449163995728463,0.0286996707193515,"{""constant_predicted_score"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,type_I_IFN,linear-PCA,floor,4,4,4,B;Mono;NK;T_cells,0,False,,,,0.0378128111834409,0.0200342958459979,"{""constant_predicted_score"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,type_I_IFN,scFoundation,adapted,4,4,4,B;Mono;NK;T_cells,4,True,0.5720405165554548,0.2066160715027784,0.8373925587018323,0.0325575343832004,0.0169142920466058,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,type_I_IFN,scGPT,adapted,4,4,4,B;Mono;NK;T_cells,4,True,0.8292311182812812,0.6252507334237684,0.9307150616999916,0.0262493504207672,0.0150382788753799,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,type_I_IFN,scGen,native,4,4,4,B;Mono;NK;T_cells,3,False,,,,,,"{""estimable"": 3, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T5c,full_census_strata,all_measured_original_members,rank_top5_mean_profile,type_I_IFN,scPRAM,native,4,4,4,B;Mono;NK;T_cells,4,True,0.530928003228251,0.2761417560588804,0.6895974015209132,0.0559123822130131,0.0334607586119554,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,benchmark_mask,mean_expression_delta,effector_lymphocyte,CPA,native,4,4,4,B;Mono;NK;T_cells,4,True,0.070881934748731,-0.0501444893717723,0.2530787754255374,0.4861369692529748,0.4803909405122158,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,benchmark_mask,mean_expression_delta,effector_lymphocyte,CellFlow,native,4,4,4,B;Mono;NK;T_cells,4,True,0.2593445961414407,0.0639159928724601,0.4018603927562112,0.477904784869798,0.4715751030335215,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,benchmark_mask,mean_expression_delta,effector_lymphocyte,CellOT,native,4,4,4,B;Mono;NK;T_cells,3,False,,,,,,"{""estimable"": 3, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T5c,full_census_strata,benchmark_mask,mean_expression_delta,effector_lymphocyte,FP-ridge,diagnostic,4,4,4,B;Mono;NK;T_cells,4,True,0.1549573190383917,-0.1889706968841735,0.4683135936511652,0.1185986577231882,0.0764527888064308,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,benchmark_mask,mean_expression_delta,effector_lymphocyte,PRnet,native,4,4,4,B;Mono;NK;T_cells,4,True,0.4025284471994655,0.2338978075133201,0.7063059345131195,0.7560507321756204,0.7510011149983059,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,benchmark_mask,mean_expression_delta,effector_lymphocyte,PerturbNet,native,4,4,4,B;Mono;NK;T_cells,0,False,,,,,,"{""explicit_declined_strata_on_full_support"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,benchmark_mask,mean_expression_delta,effector_lymphocyte,STATE,native,4,4,4,B;Mono;NK;T_cells,4,True,-0.0627481479526227,-0.3163304338888124,0.1564951692185939,0.7906221742129346,0.7853158895954188,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,benchmark_mask,mean_expression_delta,effector_lymphocyte,cell-mean,floor,4,4,4,B;Mono;NK;T_cells,0,False,,,,0.8735481229720657,0.868667864178074,"{""numerically_constant_predicted_profile"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,benchmark_mask,mean_expression_delta,effector_lymphocyte,linear-PCA,floor,4,4,4,B;Mono;NK;T_cells,0,False,,,,0.0903850081014376,0.0661214467819441,"{""numerically_constant_predicted_profile"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,benchmark_mask,mean_expression_delta,effector_lymphocyte,scFoundation,adapted,4,4,4,B;Mono;NK;T_cells,4,True,0.2494383335333929,-0.3127375600681,0.7375662375234558,0.0807992746358269,0.0486710716872509,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,benchmark_mask,mean_expression_delta,effector_lymphocyte,scGPT,adapted,4,4,4,B;Mono;NK;T_cells,4,True,0.331411410488177,0.006158254809458,0.6676718886187789,0.0810474753445466,0.0553655183694149,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,benchmark_mask,mean_expression_delta,effector_lymphocyte,scGen,native,4,4,4,B;Mono;NK;T_cells,3,False,,,,,,"{""estimable"": 3, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T5c,full_census_strata,benchmark_mask,mean_expression_delta,effector_lymphocyte,scPRAM,native,4,4,4,B;Mono;NK;T_cells,4,True,0.2356482549397514,0.016478235527931,0.4934322231282018,0.3879830881132768,0.3176283970972485,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,benchmark_mask,mean_expression_delta,inflammatory_NFkB,CPA,native,4,4,4,B;Mono;NK;T_cells,4,True,0.0561252371210938,-0.0173061348318988,0.1544411501576153,0.1588309799464198,0.1306856996290825,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,benchmark_mask,mean_expression_delta,inflammatory_NFkB,CellFlow,native,4,4,4,B;Mono;NK;T_cells,4,True,0.3205250786486032,-0.1240273804440895,0.5276769487422446,0.1687184970736527,0.1426122636334495,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,benchmark_mask,mean_expression_delta,inflammatory_NFkB,CellOT,native,4,4,4,B;Mono;NK;T_cells,3,False,,,,,,"{""estimable"": 3, ""explicit_declined_strata_on_full_support"": 1}",common observed-defined units; identical for every candidate
T5c,full_census_strata,benchmark_mask,mean_expression_delta,inflammatory_NFkB,FP-ridge,diagnostic,4,4,4,B;Mono;NK;T_cells,4,True,0.526809296602276,0.1588087497909017,0.6568346080766677,0.0992986303922024,0.0651988431899381,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,benchmark_mask,mean_expression_delta,inflammatory_NFkB,PRnet,native,4,4,4,B;Mono;NK;T_cells,4,True,0.4088383967964863,0.111397398535704,0.5414407722707879,0.3031336801247674,0.2825398854366606,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,benchmark_mask,mean_expression_delta,inflammatory_NFkB,PerturbNet,native,4,4,4,B;Mono;NK;T_cells,0,False,,,,,,"{""explicit_declined_strata_on_full_support"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,benchmark_mask,mean_expression_delta,inflammatory_NFkB,STATE,native,4,4,4,B;Mono;NK;T_cells,4,True,0.0865793777133289,-0.0600565517341342,0.359170339400644,0.2551337533536099,0.2257304445316726,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,benchmark_mask,mean_expression_delta,inflammatory_NFkB,cell-mean,floor,4,4,4,B;Mono;NK;T_cells,0,False,,,,0.3623666999977641,0.35191082416573,"{""numerically_constant_predicted_profile"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,benchmark_mask,mean_expression_delta,inflammatory_NFkB,linear-PCA,floor,4,4,4,B;Mono;NK;T_cells,0,False,,,,0.1042107520915883,0.0658172725081521,"{""numerically_constant_predicted_profile"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,benchmark_mask,mean_expression_delta,inflammatory_NFkB,scFoundation,adapted,4,4,4,B;Mono;NK;T_cells,4,True,0.4100683054505062,-0.0748207636242217,0.6018581588269686,0.0936931005242663,0.062158887638659,"{""estimable"": 4}",common observed-defined units; identical for every candidate
T5c,full_census_strata,benchmark_mask,mean_expression_delta,inflammatory_NFkB,scGPT,adapted,4,4,4,B;Mono;NK;T_cells,4,True,0.5467110804360515,0.3141151107141569,0.6767455171820447,0.096224422747621,0.0675061540301912,"{""estimable"": 4}",common observed-defined units; identical for every candidate
