task,model,execution_model,role,unit,split,dataset,bundle_path,sha256
T1,cell-mean,cell-mean,floor,NK,C1_loct_NK,,predictions/C1/C1_LOCT__cell-mean__C1_loct_NK.npz,a03a5b7da3c4c86970409903f477558aaea87f4ad9033001b2497fd33d63f491
T1,linear-PCA,linear-PCA,floor,B,C1_loct_B,,predictions/C1/C1_LOCT__linear-PCA__C1_loct_B.npz,7e058847a0837472a5589d0db88767323900ecbdcf98c081aed8832b353c6d7e
T1,linear-PCA,linear-PCA,floor,CD4T,C1_loct_CD4T,,predictions/C1/C1_LOCT__linear-PCA__C1_loct_CD4T.npz,58db321dbdceca9388b9ffdfeac9300e857d72cd027e899fe3f993b097244574
T1,linear-PCA,linear-PCA,floor,CD8T,C1_loct_CD8T,,predictions/C1/C1_LOCT__linear-PCA__C1_loct_CD8T.npz,50d9555c945a73cf5cafff05983d7a72a0067c5dee60577b7c8fc485a1cda63a
T1,linear-PCA,linear-PCA,floor,DC,C1_loct_DC,,predictions/C1/C1_LOCT__linear-PCA__C1_loct_DC.npz,9dc4440f9f29c76ac15e5be42220eab9f54e6aec35e7a606b8b00e687ea6756a
T1,linear-PCA,linear-PCA,floor,Mk,C1_loct_Mk,,predictions/C1/C1_LOCT__linear-PCA__C1_loct_Mk.npz,80b2adb85becbf05fbc947e913bbb33ff87dbb00d06059e1910955df51e1d03d
T1,linear-PCA,linear-PCA,floor,Mono_CD14,C1_loct_Mono_CD14,,predictions/C1/C1_LOCT__linear-PCA__C1_loct_Mono_CD14.npz,e19a6c00d8f1c1a4d690fb621ba27d7d83e8d298edda54bd4d6b5907a03ff53e
T1,linear-PCA,linear-PCA,floor,Mono_FCGR3A,C1_loct_Mono_FCGR3A,,predictions/C1/C1_LOCT__linear-PCA__C1_loct_Mono_FCGR3A.npz,f0f5b6aa13965789092dc26386da955faf5ac32cb6d0916ac4728a9d15864b6f
T1,linear-PCA,linear-PCA,floor,NK,C1_loct_NK,,predictions/C1/C1_LOCT__linear-PCA__C1_loct_NK.npz,d4ddd5f163f502dae1f70a350782517b708ae8705ebdac1eee795892d39d5ccd
T1,scFoundation,scFoundation,method,B,C1_loct_B,None,predictions/C1/C1_LOCT__scFoundation__C1_loct_B.npz,7fed5a27c5ce167b5c6c8d28f4b0082366b23609cd35726d19443dab5e5a1247
T1,scFoundation,scFoundation,method,CD4T,C1_loct_CD4T,None,predictions/C1/C1_LOCT__scFoundation__C1_loct_CD4T.npz,5d7d0969ec6d52fd6ae9cfde447c4d8eee863b1906e2d12c01f2fc9937016d77
T1,scFoundation,scFoundation,method,CD8T,C1_loct_CD8T,None,predictions/C1/C1_LOCT__scFoundation__C1_loct_CD8T.npz,56fc19baf6deed1c90a580d47a089253b540f4d81ecc3dd2fd1e8e08dc1e2fe5
T1,scFoundation,scFoundation,method,DC,C1_loct_DC,None,predictions/C1/C1_LOCT__scFoundation__C1_loct_DC.npz,90198391d62de01a0af5aca7b69f707a4bbb5ce7f79d6b6ab55ddd06bee0d8c3
T1,scFoundation,scFoundation,method,Mk,C1_loct_Mk,None,predictions/C1/C1_LOCT__scFoundation__C1_loct_Mk.npz,597317e0d82c3e89d45f29bb9e725ae0ed2d2cb18e0be22d392240abd9396c41
T1,scFoundation,scFoundation,method,Mono_CD14,C1_loct_Mono_CD14,None,predictions/C1/C1_LOCT__scFoundation__C1_loct_Mono_CD14.npz,34c51485760616f367862509f557522833b51d2c1a25c5e30dd6c3a37ac98414
T1,scFoundation,scFoundation,method,Mono_FCGR3A,C1_loct_Mono_FCGR3A,None,predictions/C1/C1_LOCT__scFoundation__C1_loct_Mono_FCGR3A.npz,c84072cf17be16236ab085e56da9f746635c6b303b033dae2aef66829f9150a4
T1,scFoundation,scFoundation,method,NK,C1_loct_NK,None,predictions/C1/C1_LOCT__scFoundation__C1_loct_NK.npz,52bfa0106ba34a7a441acf7eacaef70b2ef6d671145575aaec4a40bede7d66ea
T1,scGPT,scGPT,method,B,C1_loct_B,None,predictions/C1/C1_LOCT__scGPT__C1_loct_B.npz,f693370971742823f7f3beb509c56b240a975613dc904c60dcd04bb3a960db71
T1,scGPT,scGPT,method,CD4T,C1_loct_CD4T,None,predictions/C1/C1_LOCT__scGPT__C1_loct_CD4T.npz,ee11b35f004b888f47ba28082ad3b178c257a793e0b7bcb1082aa22bca07d11f
T1,scGPT,scGPT,method,CD8T,C1_loct_CD8T,None,predictions/C1/C1_LOCT__scGPT__C1_loct_CD8T.npz,67c36529428bc861a3c20850259ad2c234c34e2c1b0170c9d65257cd00ac57dc
T1,scGPT,scGPT,method,DC,C1_loct_DC,None,predictions/C1/C1_LOCT__scGPT__C1_loct_DC.npz,487b5cad8f44e03a6db2268d851774e3f1730baf9dfe2cd8774136426b5dd6e2
T1,scGPT,scGPT,method,Mk,C1_loct_Mk,None,predictions/C1/C1_LOCT__scGPT__C1_loct_Mk.npz,fce1ce6a6eeb7cdfd80c47b47df2984b5458ed9c2d2f0efa1d60cd6ab0d5342d
T1,scGPT,scGPT,method,Mono_CD14,C1_loct_Mono_CD14,None,predictions/C1/C1_LOCT__scGPT__C1_loct_Mono_CD14.npz,1fa1da889e60e515eac1e97d2d8a18dee5b29472ada8689c7cac255e148770c9
T1,scGPT,scGPT,method,Mono_FCGR3A,C1_loct_Mono_FCGR3A,None,predictions/C1/C1_LOCT__scGPT__C1_loct_Mono_FCGR3A.npz,19216d836b7e7f45e24efa5de2854080db524ca995fd15ccff7ea946ba7cf117
T1,scGPT,scGPT,method,NK,C1_loct_NK,None,predictions/C1/C1_LOCT__scGPT__C1_loct_NK.npz,fbce138b058dc2fb1c3c11ac5f82a3b38e3ba78022660a72b962d4424983d65e
T1,scGen,scGen,method,B,C1_loct_B,,predictions/C1/C1_LOCT__scGen__C1_loct_B.npz,7c5b5ac284cb12a1e29fb5f69179452881dd044543f13d3d75e073acaf114607
T1,scGen,scGen,method,CD4T,C1_loct_CD4T,,predictions/C1/C1_LOCT__scGen__C1_loct_CD4T.npz,30d7e9d195912e49c093fb47586e0504898d7e1f73fdec75bdf62a90daf80d87
T1,scGen,scGen,method,CD8T,C1_loct_CD8T,,predictions/C1/C1_LOCT__scGen__C1_loct_CD8T.npz,b63fbc81f885a44ccde3d6a7efbd5871dcfbbe70d435e53cd291f9cab8c241ad
T1,scGen,scGen,method,DC,C1_loct_DC,,predictions/C1/C1_LOCT__scGen__C1_loct_DC.npz,4a9dcb9fdd95bc50d6f65466f1fefcf5b578ada863039e4e7d258f5c9c31b5c0
T1,scGen,scGen,method,Mk,C1_loct_Mk,,predictions/C1/C1_LOCT__scGen__C1_loct_Mk.npz,b2b8e12a3833ff8a882edb8aaf2726b387155c45ed0272b8eadc4e5ab8a11798
T1,scGen,scGen,method,Mono_CD14,C1_loct_Mono_CD14,,predictions/C1/C1_LOCT__scGen__C1_loct_Mono_CD14.npz,80683a7bf0c8848d76ee8c1d277593a85d91bdca9f2e901b6fc1d84fbdf38df6
T1,scGen,scGen,method,Mono_FCGR3A,C1_loct_Mono_FCGR3A,,predictions/C1/C1_LOCT__scGen__C1_loct_Mono_FCGR3A.npz,514ff63c4023a927da42946a879c21ed4976aa72b20aaf5fb300e9eb5a3a9a97
T1,scGen,scGen,method,NK,C1_loct_NK,,predictions/C1/C1_LOCT__scGen__C1_loct_NK.npz,54b28bd66363d1b1ff2bc93a77fe8912191c7a20360ace473eb79631d04b7949
T1,CellFlow,CellFlow,method,B,C1_loct_B,None,predictions/C1_LOCT__CellFlow__C1_loct_B.npz,213f8196637cf14010b0793c2df54d1c7510bd55544881abaa544c951a7f64f7
T1,CellFlow,CellFlow,method,CD4T,C1_loct_CD4T,None,predictions/C1_LOCT__CellFlow__C1_loct_CD4T.npz,47ff1aa19744161af1b3acb2999875f37126d5f6ed6e651e07de0cce51f3feae
T1,CellFlow,CellFlow,method,CD8T,C1_loct_CD8T,None,predictions/C1_LOCT__CellFlow__C1_loct_CD8T.npz,67435fe0b313a3aaa9157b7d529ffe3e2c009a2f91f53f42e629bf00a84d0af2
T1,CellFlow,CellFlow,method,DC,C1_loct_DC,None,predictions/C1_LOCT__CellFlow__C1_loct_DC.npz,f080e4af382cab2b9711bfb0ffecfa3de9ae85a03012ab0396e0e7a9741156db
T1,CellFlow,CellFlow,method,Mk,C1_loct_Mk,None,predictions/C1_LOCT__CellFlow__C1_loct_Mk.npz,d274f380e3a94b0fc5c64ff10b489382344b5f0ee21c6bf93e5708e0d284346c
T1,CellFlow,CellFlow,method,Mono_CD14,C1_loct_Mono_CD14,None,predictions/C1_LOCT__CellFlow__C1_loct_Mono_CD14.npz,748d9ee7168e3874fd0825adcec15b2e3c3a1a075ceb009f6be5c305c78aa61f
T1,CellFlow,CellFlow,method,Mono_FCGR3A,C1_loct_Mono_FCGR3A,None,predictions/C1_LOCT__CellFlow__C1_loct_Mono_FCGR3A.npz,571d92c040d80d2a462796b2a4ec0b5e3d3ab9c134a02786951e4805173273ed
T1,CellFlow,CellFlow,method,NK,C1_loct_NK,None,predictions/C1_LOCT__CellFlow__C1_loct_NK.npz,7966ad1863ef07c7678216952922ca9b2d1fbf6d147dd49fc5cc1b180a2f9033
T1,CPA,CPA,method,B,C1_loct_B,None,predictions/v2_native/C1_LOCT__CPA__C1_loct_B.npz,3fe08ddb60c0b6572719462bf78084f1756cceab6ab574c225e15f67509af65a
T1,CPA,CPA,method,CD4T,C1_loct_CD4T,None,predictions/v2_native/C1_LOCT__CPA__C1_loct_CD4T.npz,0aa05f88f604c837be8eb11471d461f67dcfe1960fe3c67d4500453654fecc0e
T1,CPA,CPA,method,CD8T,C1_loct_CD8T,None,predictions/v2_native/C1_LOCT__CPA__C1_loct_CD8T.npz,3f21af7442203dc7ef2a14de3bb1c5d77fc9e089026c796d71d3845ff6f740e8
T1,CPA,CPA,method,DC,C1_loct_DC,None,predictions/v2_native/C1_LOCT__CPA__C1_loct_DC.npz,2e63fb1ff29b696c48e1e0bd8e57129134a43df878ca8e7a83a586b339a8baff
T1,CPA,CPA,method,Mk,C1_loct_Mk,None,predictions/v2_native/C1_LOCT__CPA__C1_loct_Mk.npz,cb053596dd646764cae75de78382f597f0b781f2c88b99cc96c0cf23105a9683
T1,CPA,CPA,method,Mono_CD14,C1_loct_Mono_CD14,None,predictions/v2_native/C1_LOCT__CPA__C1_loct_Mono_CD14.npz,39278fa774fe86fbd0becf5f44e0e6f64435bae4bb8ffc9bd8c9911bf3e0336a
T1,CPA,CPA,method,Mono_FCGR3A,C1_loct_Mono_FCGR3A,None,predictions/v2_native/C1_LOCT__CPA__C1_loct_Mono_FCGR3A.npz,e50190808063e768e406b78b2ee26e53a49f4bb7e33ca74882c255025ee41710
T1,CPA,CPA,method,NK,C1_loct_NK,None,predictions/v2_native/C1_LOCT__CPA__C1_loct_NK.npz,a5fb523430bb66cd442f756d833862ecd35fe10efba346e9d162baf60975bf0d
T1,PerturbNet,PerturbNet,method,B,C1_loct_B,None,predictions/v2_native/C1_LOCT__PerturbNet__C1_loct_B.npz,ea47f0ef8f362bab8a0905742f7a533a63a4cf5602a6da6163c275762c429c4d
T1,PerturbNet,PerturbNet,method,CD4T,C1_loct_CD4T,None,predictions/v2_native/C1_LOCT__PerturbNet__C1_loct_CD4T.npz,4734a173c0e8b948aab169e6994119224949ccedd573a30c14b2b5800fc42c64
T1,PerturbNet,PerturbNet,method,CD8T,C1_loct_CD8T,None,predictions/v2_native/C1_LOCT__PerturbNet__C1_loct_CD8T.npz,d36e86b5b6b4e34e36f92ad347fe1378761ea95fe1fb0ce35f7f029267fefbcc
T1,PerturbNet,PerturbNet,method,DC,C1_loct_DC,None,predictions/v2_native/C1_LOCT__PerturbNet__C1_loct_DC.npz,4199d879af9e8715553baaa3e43ac4778d0b28b6e4015a20cc06622a5d73e0c3
T1,PerturbNet,PerturbNet,method,Mk,C1_loct_Mk,None,predictions/v2_native/C1_LOCT__PerturbNet__C1_loct_Mk.npz,6555753d6ad3e8fb99e1a8eca7a1a22e0ad1942197a6dab6297fbfc2246cb6d3
T1,PerturbNet,PerturbNet,method,Mono_CD14,C1_loct_Mono_CD14,None,predictions/v2_native/C1_LOCT__PerturbNet__C1_loct_Mono_CD14.npz,08793463bedc9c7128b63c308d9bbce224d021032a0a921f2f270ad8be681b86
T1,PerturbNet,PerturbNet,method,Mono_FCGR3A,C1_loct_Mono_FCGR3A,None,predictions/v2_native/C1_LOCT__PerturbNet__C1_loct_Mono_FCGR3A.npz,dd4eaee5c27bbca02f932699048b299f88791f0ac73c55908f56ea8ba8870e7b
T1,PerturbNet,PerturbNet,method,NK,C1_loct_NK,None,predictions/v2_native/C1_LOCT__PerturbNet__C1_loct_NK.npz,ed1a347ab7d402a31170b7f45e6c51a62083b4b1b04fb19efbaed1fe94672e64
T1,STATE,STATE,method,B,C1_loct_B,None,predictions/v2_native/C1_LOCT__STATE__C1_loct_B.npz,8913c10f18a7ed773657014f14b9f71b2ca1d3fda2e4cb574f391182134dd342
T1,STATE,STATE,method,CD4T,C1_loct_CD4T,None,predictions/v2_native/C1_LOCT__STATE__C1_loct_CD4T.npz,9e0f2e9597428eab3e85828f36f0af9dcde537782bddba623d81561a6cd72aa2
T1,STATE,STATE,method,CD8T,C1_loct_CD8T,None,predictions/v2_native/C1_LOCT__STATE__C1_loct_CD8T.npz,848f2f7e02e69db1e26ddd69caff683e1f94cd59b9a6a51d76976f86fd3d0653
T1,STATE,STATE,method,DC,C1_loct_DC,None,predictions/v2_native/C1_LOCT__STATE__C1_loct_DC.npz,4bb9cf9cec177a687a86c254d368aa5b6aa3c25169b7e025b5b9d4f9b7245aa5
T1,STATE,STATE,method,Mk,C1_loct_Mk,None,predictions/v2_native/C1_LOCT__STATE__C1_loct_Mk.npz,8fb174a034f526d3530c7c18a48e7ee2726842f64a46d6ae9ee749cac6f4ec66
T1,STATE,STATE,method,Mono_CD14,C1_loct_Mono_CD14,None,predictions/v2_native/C1_LOCT__STATE__C1_loct_Mono_CD14.npz,cc1f229aefc2f104a2ce41b1c01fda4fdb6e85a7b5516bd32f37bf34e0e2c4de
T1,STATE,STATE,method,Mono_FCGR3A,C1_loct_Mono_FCGR3A,None,predictions/v2_native/C1_LOCT__STATE__C1_loct_Mono_FCGR3A.npz,80f4d7e0f780b6e3dbb19edccdb37639783a24b753680619686b4f18f532ddb6
T1,STATE,STATE,method,NK,C1_loct_NK,None,predictions/v2_native/C1_LOCT__STATE__C1_loct_NK.npz,b56c69d9b333532d40d75badd6a6f26573f639aec5e49ac2804d755ecf6b1484
T1,scPRAM,scPRAM,method,B,C1_loct_B,None,predictions/v2_native/C1_LOCT__scPRAM__C1_loct_B.npz,0f2c0b8482c40f132a53961602edb2ce9498a71c220ef741f41bdfa346154cd0
T1,scPRAM,scPRAM,method,CD4T,C1_loct_CD4T,None,predictions/v2_native/C1_LOCT__scPRAM__C1_loct_CD4T.npz,39efa32ff27012c8c0c2496e615daa469d452d1b8b5ad3c1a0872d7262c42e12
T1,scPRAM,scPRAM,method,CD8T,C1_loct_CD8T,None,predictions/v2_native/C1_LOCT__scPRAM__C1_loct_CD8T.npz,809905203f7480d41b59a16a1efac5d38af682243fc91b2e6f9c7f17f63ba736
T1,scPRAM,scPRAM,method,DC,C1_loct_DC,None,predictions/v2_native/C1_LOCT__scPRAM__C1_loct_DC.npz,fe18c3b06169e3d6ea8e3a0cc8e894e09ff32dab0bf55a81b53d5105ccd235c9
T1,scPRAM,scPRAM,method,Mk,C1_loct_Mk,None,predictions/v2_native/C1_LOCT__scPRAM__C1_loct_Mk.npz,0820aac0cbab51ce9ad1563bb7e898c2f632673f1b81fb4310d0926753e39f50
T1,scPRAM,scPRAM,method,Mono_CD14,C1_loct_Mono_CD14,None,predictions/v2_native/C1_LOCT__scPRAM__C1_loct_Mono_CD14.npz,4cd8a7d861f3c947a5f1f55217ecfda77ff1b9084da8e46c8e0b0073d1678a91
T1,scPRAM,scPRAM,method,Mono_FCGR3A,C1_loct_Mono_FCGR3A,None,predictions/v2_native/C1_LOCT__scPRAM__C1_loct_Mono_FCGR3A.npz,6191280c00516507eb948c25a07f450069999c65097db57a68230d2bec695c7b
T1,scPRAM,scPRAM,method,NK,C1_loct_NK,None,predictions/v2_native/C1_LOCT__scPRAM__C1_loct_NK.npz,6c4837a37583526b6a3181237e30fe3db0e8b69db7fd44c19f34b82605a6adcb
T2,cell-mean,cell-mean,floor,D348,C2_lodo_D348,,predictions/C2/C2_LODO__cell-mean__C2_lodo_D348.npz,0411eec700ebf554aade77eae4b770777b8148553c0ef6c1d5742e536e503936
T2,cell-mean,cell-mean,floor,D349,C2_lodo_D349,,predictions/C2/C2_LODO__cell-mean__C2_lodo_D349.npz,9b32a6964296efef8dc63177719fc330fdc3a1a996bee2bfe87429f174a0b13a
T2,cell-mean,cell-mean,floor,D350,C2_lodo_D350,,predictions/C2/C2_LODO__cell-mean__C2_lodo_D350.npz,5e9d61f357e802666173aec928619d225e2110eb378964787656a8b91f6f84d7
T2,cell-mean,cell-mean,floor,D351,C2_lodo_D351,,predictions/C2/C2_LODO__cell-mean__C2_lodo_D351.npz,cc4720d085e5867ae3878eb0e5700c762f3edfaadc6314639e5502fed6bf14bf
T2,cell-mean,cell-mean,floor,D352,C2_lodo_D352,,predictions/C2/C2_LODO__cell-mean__C2_lodo_D352.npz,e722fefe026a6607286ec8b2fb9f232ee443264525310b5fb0c79b68e9192c7e
T2,cell-mean,cell-mean,floor,D353,C2_lodo_D353,,predictions/C2/C2_LODO__cell-mean__C2_lodo_D353.npz,67e48a01484c5a019dc5d96819a8f8b8f4d5577479b29b1d53b6bdd32185bd39
T2,cell-mean,cell-mean,floor,D354,C2_lodo_D354,,predictions/C2/C2_LODO__cell-mean__C2_lodo_D354.npz,36be8b762103907dfc8ef49353d8f63ab430fc8e3ef5243c452b81a428f26f19
T2,cell-mean,cell-mean,floor,D355,C2_lodo_D355,,predictions/C2/C2_LODO__cell-mean__C2_lodo_D355.npz,dbc2a338deb6123c4b00f79772d86a61a58d348c3f4dc30e027c95d8bb22ca64
T2,cell-mean,cell-mean,floor,D356,C2_lodo_D356,,predictions/C2/C2_LODO__cell-mean__C2_lodo_D356.npz,d50de7c8b82f0d18b667a9cfc3f114732cda65cd0399d11ef64efcba0ac8ed62
T2,cell-mean,cell-mean,floor,D357,C2_lodo_D357,,predictions/C2/C2_LODO__cell-mean__C2_lodo_D357.npz,869d1de148111d38f181d545579aec2895fb380aafdb034c7ab1252f60a4373c
T2,cell-mean,cell-mean,floor,D358,C2_lodo_D358,,predictions/C2/C2_LODO__cell-mean__C2_lodo_D358.npz,3fd64f70fb9e6f40b994f7950441b516d5511b40fa642626d9de20f1788059d9
T2,cell-mean,cell-mean,floor,D359,C2_lodo_D359,,predictions/C2/C2_LODO__cell-mean__C2_lodo_D359.npz,c913b42f1e1bd8f3a63797751cb479efb1f70646d0d755907ca9cc4e8561ee28
T2,cell-mean,cell-mean,floor,D363,C2_lodo_D363,,predictions/C2/C2_LODO__cell-mean__C2_lodo_D363.npz,29f4181c1e7110d569763c8fae4a7395e67b8d85502cebf02cc40701b7585c3b
T2,cell-mean,cell-mean,floor,D364,C2_lodo_D364,,predictions/C2/C2_LODO__cell-mean__C2_lodo_D364.npz,b9ed35d6d12e0f4753f0ac0549927b9ba0e60f717233ad625936a11f806af887
T2,cell-mean,cell-mean,floor,D365,C2_lodo_D365,,predictions/C2/C2_LODO__cell-mean__C2_lodo_D365.npz,1eeb03fab1a249531b04652ed341f2e4dee14f4fc667bfec479f8f6b391d841a
T2,cell-mean,cell-mean,floor,D366,C2_lodo_D366,,predictions/C2/C2_LODO__cell-mean__C2_lodo_D366.npz,bf818cf0b5211912f477f2ad82762d6a3aa90eef18006e586450717495ee28a2
T2,cell-mean,cell-mean,floor,D367,C2_lodo_D367,,predictions/C2/C2_LODO__cell-mean__C2_lodo_D367.npz,114a555595860c8f903ca95b3fc49ba4679441be713df3714ea4b13d5bf864ca
T2,cell-mean,cell-mean,floor,D368,C2_lodo_D368,,predictions/C2/C2_LODO__cell-mean__C2_lodo_D368.npz,ef5c0aac9631f467f2f9339c413416a26d5132e475793ab5aa00e8de4c39da38
T2,cell-mean,cell-mean,floor,D369,C2_lodo_D369,,predictions/C2/C2_LODO__cell-mean__C2_lodo_D369.npz,482d5c22c64fe2a8457b1f0777046148e85df4290a4ec3e7ece79901929324f2
T2,cell-mean,cell-mean,floor,D370,C2_lodo_D370,,predictions/C2/C2_LODO__cell-mean__C2_lodo_D370.npz,3b42983394e4ee818474e506d4b4edf94381b1a189e360d94f8d96e618ef569d
T2,cell-mean,cell-mean,floor,D371,C2_lodo_D371,,predictions/C2/C2_LODO__cell-mean__C2_lodo_D371.npz,54c624fe7af2edfe10bfce921e2813db3f3eddab6a403b48377dff2c4bbb76bc
T2,cell-mean,cell-mean,floor,D372,C2_lodo_D372,,predictions/C2/C2_LODO__cell-mean__C2_lodo_D372.npz,0e0ae82eaeff756cb35d2f3cc445b4ab8f5b282adfa9dde5d0d7223a7798fefb
T2,cell-mean,cell-mean,floor,D373,C2_lodo_D373,,predictions/C2/C2_LODO__cell-mean__C2_lodo_D373.npz,1d361602cc1ca8779e5ffe911ee45daa7675b778d4e01ade0ba9c8452fcae7f6
T2,cell-mean,cell-mean,floor,D374,C2_lodo_D374,,predictions/C2/C2_LODO__cell-mean__C2_lodo_D374.npz,dd24b67cc29ad7564479f751358260946cf405033505edd623163ead1e0b6227
T2,cell-mean,cell-mean,floor,D378,C2_lodo_D378,,predictions/C2/C2_LODO__cell-mean__C2_lodo_D378.npz,4127d7918b8eb576deb059a9b7f8564576b1691f384c2e890cfccac6c71177ce
T2,cell-mean,cell-mean,floor,D379,C2_lodo_D379,,predictions/C2/C2_LODO__cell-mean__C2_lodo_D379.npz,0a99138a93ca2344646a1dbed7aadee8133ea5002d8c55a476f5d88edeb9be96
T2,cell-mean,cell-mean,floor,D380,C2_lodo_D380,,predictions/C2/C2_LODO__cell-mean__C2_lodo_D380.npz,81217c6184f0af8ee57031b3eb2e58d6cca987fc2b97d402d6ecba1690da2ca4
T2,cell-mean,cell-mean,floor,D381,C2_lodo_D381,,predictions/C2/C2_LODO__cell-mean__C2_lodo_D381.npz,ad3ec3180eb075afabcec2e4ac5efd481c094c714fe3daf23c81a60a7c50fc48
T2,cell-mean,cell-mean,floor,D382,C2_lodo_D382,,predictions/C2/C2_LODO__cell-mean__C2_lodo_D382.npz,49bf3d5b05385ccd3dd9b14041f7cc4cc8f57a0e20b4dce91a13d21651ddde3a
T2,cell-mean,cell-mean,floor,D383,C2_lodo_D383,,predictions/C2/C2_LODO__cell-mean__C2_lodo_D383.npz,f57246347ec1c47b0edd3c9d3ff0cb5c2dc8c184e697e4c9c6e98ffe26f7b70e
T2,cell-mean,cell-mean,floor,D387,C2_lodo_D387,,predictions/C2/C2_LODO__cell-mean__C2_lodo_D387.npz,22c5cb338bf84df2e9226af404467e1b84132318d89b0a7943cf790e11d5f4fb
T2,cell-mean,cell-mean,floor,D388,C2_lodo_D388,,predictions/C2/C2_LODO__cell-mean__C2_lodo_D388.npz,a3a4848f4549f13b089389cc1b6b917f237fe2958cf316c5b1df73425adf148f
T2,cell-mean,cell-mean,floor,D389,C2_lodo_D389,,predictions/C2/C2_LODO__cell-mean__C2_lodo_D389.npz,c6b057af3cc2cae3c70da07cd096904a4dcafc111180adee0922801a86f3cdab
T2,cell-mean,cell-mean,floor,D390,C2_lodo_D390,,predictions/C2/C2_LODO__cell-mean__C2_lodo_D390.npz,754c6e40f4b9305dfe5c23da83a882fa82c68a0f5a0ca372220c790398ec1066
T2,cell-mean,cell-mean,floor,D391,C2_lodo_D391,,predictions/C2/C2_LODO__cell-mean__C2_lodo_D391.npz,69025a65db45d4f3602dfeb3e474fa5f746d5ba6c923b168502f72f25dfb3d84
T2,cell-mean,cell-mean,floor,D392,C2_lodo_D392,,predictions/C2/C2_LODO__cell-mean__C2_lodo_D392.npz,bf122a3fe7e3a89f1614e5a87205deac53a5ebdf7475567103b491ebf1fb78f5
T2,cell-mean,cell-mean,floor,D393,C2_lodo_D393,,predictions/C2/C2_LODO__cell-mean__C2_lodo_D393.npz,b1cd29efc1917fd53a5b9cb3359c03e5ab085ed37ced9b1f3bc4f938ae32ac91
